Year,City,Province,Registered_Voters,Votes_Cast,Turnout_Percent,High_Turnout
2024,Khushab,Punjab,941186.0,190885.0,20.281325901575247,0
2024,Khuzdar,Balochistan,300082.0,18222.0,6.072340227004619,0
2024,Khyber Agency,KPK,638349.0,1216.0,0.19049140830486144,0
2024,Kohat,KPK,666239.0,1725.0,0.25891609467473387,0
2024,Kohistan Upper Cum Kohistan Lower cum Kolai palas,KPK,196125.0,26583.0,13.554110898661568,0
2024,Kot addu,Punjab,612433.0,5265.0,0.8596858758427451,0
2024,Kurram Agency,KPK,202761.0,14.0,0.006904680880445451,0
2024,Lahore,Punjab,5967262.0,166346.0,2.787643646281997,0
2024,Lakki Marwat,KPK,162621.0,151.0,0.09285393645347156,0
2024,Larkana,Sindh,865829.0,6130.0,0.7079919938001614,0
2024,Layyah,Punjab,916685.0,4317.0,0.4709360358247381,0
2024,Lodhran,Punjab,798412.0,4821.0,0.6038235898258042,0
2024,Lower Dir,KPK,870852.0,608.0,0.06981668526913873,0
2024,Mainwali,Punjab,731558.0,12834.0,1.754338001908256,0
2024,Malakand,KPK,468451.0,344.0,0.07343350745328753,0
2024,Malir,Sindh,747616.0,2192.0,0.29319864743397683,0
2024,Mandi Baha-Ul-Din,Punjab,1215082.0,33749.0,2.777508020034862,0
2024,Mansehra,KPK,582844.0,3659.0,0.6277837637515357,0
2024,Mansehra Cum Tor Ghar,KPK,235143.0,794.0,0.3376668665450386,0
2024,Mardan,KPK,1198202.0,35230.0,2.9402387911220313,0
2024,Matiari,Sindh,417629.0,2616.0,0.6263932820757179,0
2024,Mirpur Khas,Sindh,864682.0,99201.0,11.472541350461789,0
2024,Mohmand Agency,KPK,342427.0,7797.0,2.276981663245013,0
2024,Multan,Punjab,2575259.0,15617.0,0.6064244411921286,0
2024,Musa Khail-cum-Barkhan-cum-Loralai-cum-Duki,Balochistan,193508.0,1653.0,0.8542282489612832,0
2024,Muzaffargarh,Punjab,1477669.0,13423.0,0.9083901739834834,0
